,Pais,Sigla,Plásticos emitidos al océano mundialmente (%),Plásticos emitidos al océano per capita (Kg por año),PIB per capita
134,Slovakia,SVK,0.0,0.0,32056.78
135,Slovenia,SVN,0.00112307,0.005291005,39061.25
136,Solomon Islands,SLB,0.010209728,0.149253731,2616.9084
137,Somalia,SOM,0.000204195,0.000129509,1546.9055
138,South Africa,ZAF,0.435547007,0.072850849,13850.8955
139,South Korea,KOR,0.039511648,0.007554905,42758.59
140,Spain,ESP,0.023992861,0.005028136,40782.234
141,Sri Lanka,LKA,0.985647164,0.452729319,13639.021
142,Sudan,SDN,0.010822312,0.002475883,4133.1304
143,Suriname,SUR,0.171217143,2.886402754,18448.979
144,Sweden,SWE,0.003675502,0.003587086,52850.57
147,Tanzania,TZA,0.590632779,0.099732782,2578.8403
148,Thailand,THA,2.328430622,0.327550053,17997.133
149,Togo,TGO,0.044514415,0.053947043,2063.7588
150,Tonga,TON,0.0,0.0,6344.4214
151,Trinidad and Tobago,TTO,0.363160033,2.549820789,25698.006
152,Tunisia,TUN,0.07024293,0.058828559,11113.796
153,Turkey,TUR,1.462951959,0.171748771,28476.684
154,Ukraine,UKR,0.087701566,0.01952539,12804.955
155,United Arab Emirates,ARE,0.001429362,0.001432811,71782.16
156,United Kingdom,GBR,0.07177439,0.010410188,46909.08
157,United States,USA,0.248198493,0.007387598,62470.93
158,Uruguay,URY,0.101893088,0.288272675,23552.842
160,Vietnam,VNM,2.881287406,0.292560801,10252.004
163,Zimbabwe,ZWE,0.0,0.0,2203.3967
